,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS1030529,ERS1030529,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030531,ERS1030531,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030532,ERS1030532,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030533,ERS1030533,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030534,ERS1030534,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030535,ERS1030535,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030536,ERS1030536,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030537,ERS1030537,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030538,ERS1030538,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1030539,ERS1030539,MGYS00000599,root,Environmental,Aquatic,Freshwater,Ice,NA,Environmental,Others
ERS1065340,ERS1065340,MGYS00000631,root,Host-associated,Mammalia,Digestive system,Stomach,Bovidae,Animal,Mammalia
ERS1065341,ERS1065341,MGYS00000631,root,Host-associated,Mammalia,Digestive system,Stomach,Bovidae,Animal,Mammalia
ERS1065342,ERS1065342,MGYS00000631,root,Host-associated,Mammalia,Digestive system,Stomach,Bovidae,Animal,Mammalia
ERS1115236,ERS1115236,MGYS00000802,root,Environmental,Terrestrial,Soil,Desert,NA,Environmental,Others
ERS1115237,ERS1115237,MGYS00000802,root,Environmental,Terrestrial,Soil,Desert,NA,Environmental,Others
ERS1115238,ERS1115238,MGYS00000802,root,Environmental,Terrestrial,Soil,Desert,NA,Environmental,Others
ERS1115239,ERS1115239,MGYS00000802,root,Environmental,Terrestrial,Soil,Desert,NA,Environmental,Others
ERS1222671,ERS1222671,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
ERS1222672,ERS1222672,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
ERS1222673,ERS1222673,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
ERS1222674,ERS1222674,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
ERS1222675,ERS1222675,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
ERS1222676,ERS1222676,MGYS00001690,root,Environmental,Aquatic,Freshwater,Lentic,NA,Environmental,Others
