Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS233527	MGYS00000320	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS233526	MGYS00000320	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS233524	MGYS00000320	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS233525	MGYS00000320	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612894	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612888	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612896	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612885	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612891	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612886	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612900	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612887	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612889	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612897	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612895	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612890	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612898	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612899	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612893	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
ERS612892	MGYS00000447	root	Environmental	Aquatic	Marine	Intertidal zone	NA
SRS429584	MGYS00000562	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS1030537	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030532	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030529	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030534	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030533	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030531	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030539	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030536	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030535	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1030538	MGYS00000599	root	Environmental	Aquatic	Freshwater	Ice	NA
ERS1065342	MGYS00000631	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS1065341	MGYS00000631	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS1065340	MGYS00000631	root	Host-associated	Mammalia	Digestive system	Stomach	Bovidae
ERS1115236	MGYS00000802	root	Environmental	Terrestrial	Soil	Desert	NA
ERS1115237	MGYS00000802	root	Environmental	Terrestrial	Soil	Desert	NA
ERS1115238	MGYS00000802	root	Environmental	Terrestrial	Soil	Desert	NA
ERS1115239	MGYS00000802	root	Environmental	Terrestrial	Soil	Desert	NA
SRS697337	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697340	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697348	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697347	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697336	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697338	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
SRS697342	MGYS00000989	root	Environmental	Terrestrial	Soil	Sand	NA
