colors.phyla.Phylum	colors.phyla.cols
p__Proteobacteria	#A6CEE3
p__Firmicutes	#1F78B4
p__Firmicutes_A	#B2DF8A
p__Actinobacteriota	#33A02C
p__Campylobacterota	#FB9A99
p__Desulfobacterota	#E31A1C
p__Bdellovibrionota	#FDBF6F
p__Firmicutes_C	#FF7F00
p__Spirochaetota	#CAB2D6
p__Firmicutes_B	#6A3D9A
p__Planctomycetota	#FFFF99
p__Cyanobacteria	#B15928
p__Verrucomicrobiota	#3A3B3C
p__Acidobacteriota	#3A3B3C
p__Thermotogota	#3A3B3C
p__Bacteroidota	#3A3B3C
p__Desulfobacterota_F	#3A3B3C
p__Firmicutes_F	#3A3B3C
p__SAR324	#3A3B3C
p__Chloroflexota	#3A3B3C
p__Armatimonadota	#3A3B3C
p__Riflebacteria	#3A3B3C
p__Nitrospirota	#3A3B3C
p__Deferribacterota	#3A3B3C
p__Fibrobacterota	#3A3B3C
p__Aquificota	#3A3B3C
p__Nitrospinota	#3A3B3C
p__Firmicutes_E	#3A3B3C
p__Synergistota	#3A3B3C
p__Cloacimonadota	#3A3B3C
p__Myxococcota	#3A3B3C
p__Gemmatimonadota	#3A3B3C
p__Krumholzibacteriota	#3A3B3C
p__Poribacteria	#3A3B3C
p__Firmicutes_D	#3A3B3C
p__Calditrichota	#3A3B3C
p__Firmicutes_G	#3A3B3C
p__Lindowbacteria	#3A3B3C
p__Methylomirabilota	#3A3B3C
p__Nitrospirota_A	#3A3B3C
p__Delongbacteria	#3A3B3C
p__Patescibacteria	#3A3B3C
p__UBA8481	#3A3B3C
p__Wallbacteria	#3A3B3C
p__Chrysiogenetota	#3A3B3C
p__Muirbacteria	#3A3B3C
p__OLB16	#3A3B3C
p__Thermosulfidibacterota	#3A3B3C
p__AABM5-125-24	#3A3B3C
p__CG2-30-70-394	#3A3B3C
p__CSP1-3	#3A3B3C
p__Chlamydiota	#3A3B3C
p__Coprothermobacterota	#3A3B3C
p__Desulfobacterota_B	#3A3B3C
p__Desulfobacterota_D	#3A3B3C
p__Fusobacteriota	#3A3B3C
p__KSB1	#3A3B3C
p__Margulisbacteria	#3A3B3C
p__Nitrospinota_B	#3A3B3C
p__SM23-31	#3A3B3C
p__Thermodesulfobiota	#3A3B3C
