Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
SFH83235.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900113655	2.8847222075093506	11.08709881642189	1.2645580055714621e-52	2.4899147129702088e-49	Plants
EHS52757.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp000247475	2.7419356804649047	11.024702367526105	1.162710566111595e-45	1.1446885523368654e-42	Plants
EHS53753.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp000247475	2.6621700348836272	11.0188729799321	9.249745491715119e-44	6.070916291062357e-41	Plants
EHS53752.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp000247475	2.5468911063045616	10.930268825199914	1.6951013795608115e-41	8.344136540888095e-39	Plants
PYB77514.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium wuzhouense	1.8254852557392038	10.668183453285756	5.888294907936156e-28	2.318810534745258e-25	Plants
KPF42046.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp001296045	1.6672796240485213	10.632146115989366	7.724394217064859e-26	2.5348887022334513e-23	Plants
WP_068024403.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp001579845	1.624009088092144	10.695420469218734	1.5582193207247136e-23	4.383048346438516e-21	Plants
PPQ20111.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium shewense	1.850997435971008	10.694515337345155	3.453174281640844e-23	8.499125200688527e-21	Plants
RHP37040.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	-4.137040987971864	12.780487614892426	3.316435004847959e-22	7.2556228050507e-20	Animals
ACE93333.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium phaseoli	1.4946880070340365	10.591731459507958	1.1812756187358793e-20	2.325931693290946e-18	Plants
WP_109855741.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ensifer	s__Ensifer adhaerens	1.6244679335942158	10.609271408065393	1.2976477107644376e-19	2.3227894022683433e-17	Plants
WP_028734014.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium ruizarguesonis	1.4748672493514012	10.572861416268777	2.4099481766077863e-19	3.954323299783943e-17	Plants
ESQ84451.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis sp000495815	1.514773146216775	10.579604504546106	2.3919533484592324e-17	3.622889340858637e-15	Plants
OWV84864.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp002211365	1.3010613767166694	10.526389339394868	2.639500865499993e-17	3.712269431549633e-15	Plants
AWM09340.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium symbiodeficiens	1.328521764006197	10.536277825963356	4.418171225753714e-17	5.799586095672709e-15	Plants
RED32195.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus cellulositrophicus_A	-2.771698937820778	11.689289690927978	8.966636907122128e-16	1.1034567543827169e-13	Animals
WP_081136167.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas stevensii	-3.7619152706512677	15.952316744111151	1.0708349675520417e-15	1.2031594410007028e-13	Animals
WP_090643487.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis taihuensis	1.3698655299957518	10.542878450693868	1.0998918201123743e-15	1.2031594410007028e-13	Plants
OAP45005.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Sinorhizobium	s__Sinorhizobium saheli	1.1742057809242454	10.52331744211325	3.3968576765047334e-15	3.5202172447567476e-13	Plants
CDA67770.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-510	s__CAG-510 sp000434615	-2.661204039880381	11.57527212168307	4.442924402485644e-15	4.3740590742471164e-13	Animals
CDD46301.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000436115	-2.609475774545889	11.539497490442274	5.369342404074721e-15	5.034397711249108e-13	Animals
SJZ39514.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Treponematales	f__Treponemataceae	g__Treponema_D	s__Treponema_D porcinum	-2.4456664701818056	11.440285708467703	5.969999560633709e-15	5.343149606767169e-13	Animals
