Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
EEJ52905.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus mulieris	3.080321645516847	11.989366439796902	5.780637151516326e-75	1.1387855188487163e-71	Environmental
OUT94870.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Parvibaculales	f__RS24	g__UBA7378	s__UBA7378 sp002689195	3.4468680146242363	11.46430206140947	7.556580926050053e-64	7.443232212159302e-61	Environmental
KQT19785.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium sp001423265	2.7507466568959513	11.261805688366492	5.330136174169509e-60	3.5001227543713106e-57	Environmental
KDR32911.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia zhejiangensis	3.2684948315639883	14.43158228052815	1.4977347430251642e-52	7.376343609398934e-50	Environmental
OAS88434.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	2.3725635041257807	11.409182410546842	1.1616684258708919e-42	4.576973597931314e-40	Environmental
WP_068024403.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp001579845	2.629497253072641	11.073317388807036	1.5908021726354901e-40	5.223133800153192e-38	Environmental
OQW31935.1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__Nitrospira_F sp002083405	2.3655045649875373	10.813693253521398	5.435570086847975e-38	1.3883500725539214e-35	Environmental
KOQ58417.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	2.0959031672896424	11.26959652527655	5.637969837782422e-38	1.3883500725539214e-35	Environmental
WP_095416232.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Thermoguttaceae	g__Thermogutta	s__Thermogutta terrifontis	2.0162463786949254	10.755786201327133	9.1654920104138e-38	2.006224362279465e-35	Environmental
PYN97132.1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__GWA2-73-35	g__20CM-2-70-11	s__20CM-2-70-11 sp003220315	2.0158908073343014	11.216768132788328	2.2354230876246867e-35	4.403783482620633e-33	Environmental
WP_116520833.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter insuavis	2.030608938133292	11.251615754343359	1.0701320618771e-33	1.9165092380889883e-31	Environmental
WP_043760564.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas taiwanensis	1.9001147750170893	10.704386199192625	1.893602488183603e-33	3.1086640847680815e-31	Environmental
WP_080623791.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus licheniformis	2.0942814628404633	11.314462980136604	4.727883188844093e-33	7.164561447709895e-31	Environmental
SOB91381.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus xyleni	2.6139852231783296	10.951352119145541	7.960508904426633e-33	1.1201573244086049e-30	Environmental
PJJ23062.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia flexa	1.8404166012485268	11.175123827599366	1.1063522782502844e-32	1.4530093254353737e-30	Environmental
WP_008898545.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__Pararheinheimera sp000217935	2.488926085683872	10.869203226938268	5.5396476964540265e-31	6.82069122625902e-29	Environmental
KRG75180.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas chelatiphaga	1.8137264788333407	10.950318605688157	5.3072469291480624e-30	6.150162617895107e-28	Environmental
PAW68983.1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__ER46	s__ER46 sp002288455	1.809811668113608	10.595533963214786	9.469272927937804e-30	1.0363593148909708e-27	Environmental
AOT43668.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter ludwigii	1.7240780805967508	10.561771412307444	1.0881464956676653e-29	1.1282361034027898e-27	Environmental
ORC34218.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	2.7688741127495478	11.570363713395922	1.6100836475701312e-29	1.5859323928565792e-27	Environmental
PAS94113.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Uliginosibacterium	s__Uliginosibacterium carminicum	1.6387759653592884	10.739798977499953	8.107365623262977e-29	7.605481084680032e-27	Environmental
RHP37040.1	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__Acetatifactor sp900066565	-4.02336505653808	12.530671624262508	1.209692625323019e-28	1.0832247599483397e-26	Animals
CCF11937.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Pantoea	s__Pantoea ananatis	1.6520362518698442	10.714609337241962	1.9034842041320317e-28	1.6303756009304793e-26	Environmental
OFZ49340.1	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__YD12-FULL-39-22	s__YD12-FULL-39-22 sp001770205	1.603172978849007	10.558159467191535	2.5915700917178334e-28	2.1272471169517216e-26	Environmental
WP_096055726.1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Nibricoccus	s__Nibricoccus aquaticus	1.8341584869862568	10.623193788687272	4.3979005562136956e-27	3.465545638296392e-25	Environmental
WP_047153542.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus_A	s__Aneurinibacillus_A tyrosinisolvens	1.6177921681307297	10.569894950446487	7.122816511048764e-27	5.396903279525411e-25	Environmental
OHD63782.1	d__Bacteria	p__Spirochaetota	c__UBA4802	o__UBA4802	f__UBA5550	g__RBG-16-49-21	s__RBG-16-49-21 sp001829455	1.7164826375521363	10.57738096908784	8.581132432521366e-26	6.261048478543367e-24	Environmental
PWY47549.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	1.613370745073206	10.860600752184217	1.496110923433845e-25	1.0526208997016695e-23	Environmental
WP_048227963.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium japonicum	1.564225577446828	10.830113453160832	3.3763137223184865e-24	2.293564838954282e-22	Environmental
WP_013189022.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus curtisii	1.913114888051862	10.69581287204053	8.854484544953183e-24	5.814444851185925e-22	Environmental
WP_073468939.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__Rhizobacter sp900142965	1.497479272989987	10.513294328998748	1.1934960010208117e-23	7.584474587132255e-22	Environmental
WP_066854468.1	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Halodesulfovibrio	s__Halodesulfovibrio spirochaetisodalis	1.5681868087749193	10.538864325684255	1.7202816030891275e-23	1.059048361901744e-21	Environmental
OQW49893.1	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__SG-bin7	g__SG-bin7	s__SG-bin7 sp002083485	1.3976490190670288	10.467056417398625	3.3011371723624115e-23	1.9706788574405912e-21	Environmental
OHU94028.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas byunsanensis	1.4049402806536684	11.06434574737736	3.4406592110590744e-23	1.9935584252312872e-21	Environmental
WP_048451007.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium tarhaniae	1.4582671602690358	10.726325767458773	4.406625472263529e-23	2.4803006229597577e-21	Environmental
WP_108986202.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Phycosocius	s__Phycosocius bacilliformis	1.827815729066953	10.590728276737018	1.5264222291878173e-22	8.352921643055555e-21	Environmental
RCS51109.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Bremerella	s__Bremerella marina_A	1.5069784988466255	10.543686212671593	2.7240439315016033e-22	1.450369336502205e-20	Environmental
PZN98316.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micavibrionales_C	f__TMED2	g__TMED2	s__TMED2 sp002168225	1.4678513606843162	10.516307829253474	5.27218497630707e-22	2.7332116850855074e-20	Environmental
PUE16510.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnohabitans_A	s__Limnohabitans_A sp003063375	1.6642769784400921	10.585853077181335	9.206134932908446e-22	4.650278414828112e-20	Environmental
SDS43141.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Marmoricola	s__Marmoricola scoriae	1.7910006743026623	10.623363786457329	1.008301198189236e-21	4.9658834010819877e-20	Environmental
WP_115348483.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	1.9391041087710643	10.641762161267938	1.1516098061188253e-21	5.533344678180697e-20	Environmental
WP_076410907.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella sp001957125	1.87505372984456	10.622042752350406	1.316352136734974e-21	6.174318355637854e-20	Environmental
ABJ81339.1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__Solibacter usitatus	1.666784770324583	10.535854012811253	1.5214762492086003e-21	6.970484211490564e-20	Environmental
SFR42095.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter gudaonensis	1.3422572899361023	10.480753976677079	1.6690703709521956e-21	7.472883251763239e-20	Environmental
RED32195.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus cellulositrophicus_A	-2.8182173622427653	11.457607414737767	2.2855822275116066e-21	1.0005771084884144e-19	Animals
SFF58521.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Aureimonas	s__Aureimonas phyllosphaerae	1.3634647841025482	10.525088717266927	8.525687160323162e-21	3.6133471728361004e-19	Environmental
EIL92230.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rhodanobacter	s__Rhodanobacter fulvus	1.348737973521523	10.496759130644948	8.620675996106432e-21	3.6133471728361004e-19	Environmental
