Accession	Domain	Phylum	Class	Order	Family	Genus	Species	logFC	logCPM	PValue	FDR	EnrichedIn
OUT94870.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Parvibaculales	f__RS24	g__UBA7378	s__UBA7378 sp002689195	-3.3056361925403124	11.333107439602632	2.3022479312390213e-83	4.537730672472111e-80	Environmental
EEJ52905.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus mulieris	-2.736408122399094	11.902307411589153	2.6294153995589514e-73	2.5912888762653465e-70	Environmental
KDR32911.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia zhejiangensis	-3.156697608484146	14.250180483491425	9.097316723569437e-71	5.97693708738512e-68	Environmental
KQT19785.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium sp001423265	-2.404888280866471	11.217551389153206	2.0437844205543858e-57	1.0070747732281737e-54	Environmental
OQW31935.1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__Nitrospira_F sp002083405	-2.348102635543194	10.741427368760277	2.5196694570626393e-50	9.932536999740923e-48	Environmental
ORC34218.1	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__JC444	f__Marispirochaetaceae	g__Marispirochaeta	s__Marispirochaeta aestuarii	-2.967947421577914	11.40375236997218	3.9922008868752814e-47	1.31143799133853e-44	Environmental
SOB91381.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_A	f__Planococcaceae	g__Ureibacillus	s__Ureibacillus xyleni	-2.6002972786650056	10.860479312342296	7.213992444306647e-45	2.0312541582469144e-42	Environmental
OAS88434.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-2.135009220573273	11.365454369683503	9.798240755289473e-45	2.414041566084444e-42	Environmental
PYN97132.1	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__GWA2-73-35	g__20CM-2-70-11	s__20CM-2-70-11 sp003220315	-1.943326032868505	11.15990935031531	1.084073468249429e-42	2.3741208954662497e-40	Environmental
WP_008898545.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__Pararheinheimera sp000217935	-2.4859694439517033	10.786773118248519	2.901631579121297e-42	5.719115842448076e-40	Environmental
WP_095416232.1	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Thermoguttaceae	g__Thermogutta	s__Thermogutta terrifontis	-1.850693665160014	10.735772074672882	4.827731181081624e-42	8.650416507192618e-40	Environmental
PJJ23062.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia flexa	-1.8132003287284115	11.116785250937307	5.839318343810044e-42	9.591080379707996e-40	Environmental
KOQ58417.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-1.919138580218439	11.233895403746194	1.6488427163643077e-41	2.4998992261185006e-39	Environmental
WP_116520833.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter insuavis	-1.9449337254825918	11.195662170053323	2.4784770647839997e-40	3.4893416390637595e-38	Environmental
WP_080623791.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus licheniformis	-1.9748924078903674	11.261677131188408	3.3866256768090537e-38	4.4500261393270964e-36	Environmental
WP_043760564.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas taiwanensis	-1.749095840567201	10.689559036047038	5.034384687639058e-37	6.201732637085364e-35	Environmental
AOT43668.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter ludwigii	-1.6734838500107305	10.537036030740678	8.115352648881611e-36	9.409035335850385e-34	Environmental
PAS94113.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Uliginosibacterium	s__Uliginosibacterium carminicum	-1.6090256138530399	10.70800386854014	2.541886817962827e-35	2.7833660656692953e-33	Environmental
OFZ49340.1	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__YD12-FULL-39-22	s__YD12-FULL-39-22 sp001770205	-1.553708481626841	10.539953783041204	1.272753389023844e-33	1.320314173561051e-31	Environmental
PAW68983.1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__ER46	s__ER46 sp002288455	-1.6751157053373922	10.586589799495695	4.6459663528409816e-33	4.578599840724787e-31	Environmental
OHD63782.1	d__Bacteria	p__Spirochaetota	c__UBA4802	o__UBA4802	f__UBA5550	g__RBG-16-49-21	s__RBG-16-49-21 sp001829455	-1.6913845075158693	10.547317227686088	4.494091915631408e-32	4.218026269385479e-30	Environmental
WP_047153542.1	d__Bacteria	p__Firmicutes	c__Bacilli	o__Aneurinibacillales	f__Aneurinibacillaceae	g__Aneurinibacillus_A	s__Aneurinibacillus_A tyrosinisolvens	-1.5333296092870816	10.559970345931209	6.141193340817599e-31	5.501950943068858e-29	Environmental
WP_096055726.1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Nibricoccus	s__Nibricoccus aquaticus	-1.7199916620668632	10.606756905165195	7.71650283314032e-31	6.612707427878074e-29	Environmental
WP_013189022.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus curtisii	-1.8878137397551789	10.651050072133932	1.8080771223931834e-30	1.4848833367654018e-28	Environmental
KRG75180.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas chelatiphaga	-1.6054467615928214	10.950174383498409	6.0495690538550354e-30	4.76948024205931e-28	Environmental
OHU94028.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas byunsanensis	-1.4048714661081994	11.026283953592063	3.6180003943438376e-29	2.742722606635271e-27	Environmental
WP_076410907.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella sp001957125	-1.8906914580132355	10.573927049094044	9.602790437808883e-29	7.010037019600485e-27	Environmental
WP_115348483.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Hafnia	s__Hafnia alvei	-1.926957138183107	10.595444738965902	2.9243847530964626e-28	2.0585579815546884e-26	Environmental
WP_043131923.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae	-1.7237619099433432	11.177851288619902	4.097560922741157e-28	2.7849284754216625e-26	Environmental
WP_108986202.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Phycosocius	s__Phycosocius bacilliformis	-1.783604918809623	10.558266783188781	4.5655930610336e-28	2.999594641099075e-26	Environmental
WP_048451007.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__Methylobacterium tarhaniae	-1.404246395351937	10.711399519163342	2.3302858730989074e-27	1.4816107922186923e-25	Environmental
WP_068024403.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Z2-YC6860	s__Z2-YC6860 sp001579845	-1.9368981342756166	11.122201844907185	4.169656442685025e-27	2.5682477651663077e-25	Environmental
PWY47549.1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter xylosoxidans	-1.4505160087133726	10.863194588744678	5.020261390485965e-27	2.9984652123175264e-25	Environmental
PZN98316.1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micavibrionales_C	f__TMED2	g__TMED2	s__TMED2 sp002168225	-1.4356442347431326	10.500560392092039	1.0372764334047022e-26	6.013152500707847e-25	Environmental
