Accession	categorical_colors	Family
WP_022758790.1	#BAB0AC	Lachnospiraceae
ONG15595.1	#59A14F	Enterobacteriaceae
EGC94816.1	#59A14F	Enterobacteriaceae
CBL40883.1	#BAB0AC	Lachnospiraceae
OUP02704.1	#4E79A7	Acutalibacteraceae
OLR54261.1	#BAB0AC	Lachnospiraceae
RHF83310.1	#BAB0AC	Lachnospiraceae
EEG95687.1	#BAB0AC	Lachnospiraceae
RGW90465.1	#BAB0AC	Lachnospiraceae
WP_055216154.1	#BAB0AC	Lachnospiraceae
RHL75406.1	#BAB0AC	Lachnospiraceae
RHE89467.1	#BAB0AC	Lachnospiraceae
WP_026671011.1	#BAB0AC	Lachnospiraceae
WP_035767622.1	#BAB0AC	Lachnospiraceae
SEK95452.1	#BAB0AC	Lachnospiraceae
WP_118280384.1	#BAB0AC	Lachnospiraceae
SCY41138.1	#BAB0AC	Lachnospiraceae
PWL66775.1	#76B7B2	DTU023
WP_065783822.1	#A0CBE8	Rhizobiaceae
ACE89738.1	#A0CBE8	Rhizobiaceae
EHS53752.1	#A0CBE8	Rhizobiaceae
OCI96762.1	#A0CBE8	Rhizobiaceae
ANL45456.1	#A0CBE8	Rhizobiaceae
ACY40759.1	#A0CBE8	Rhizobiaceae
WP_109855741.1	#A0CBE8	Rhizobiaceae
SOC83494.1	#A0CBE8	Rhizobiaceae
KQY29870.1	#E15759	Caulobacteraceae
PVM83121.1	#E15759	Caulobacteraceae
KQY52700.1	#86BCB6	Xanthomonadaceae
WP_025409266.1	#B07AA1	Gemmatimonadaceae
WP_019646457.1	#FFD92F	Rhodospirillaceae
WP_062014281.1	#A0CBE8	Rhizobiaceae
KZL24862.1	#B6992D	Stappiaceae
GBF57702.1	#FF9DA7	Hyphomonadaceae
WP_115593367.1	#F28E2B	Alteromonadaceae
PYE32768.1	#F28E2B	Alteromonadaceae
SER07934.1	#D37295	Nitrincolaceae
ALA90499.1	#86BCB6	Xanthomonadaceae
WP_101892983.1	#9C755F	Ketobacteraceae
WP_068614852.1	#499894	Woeseiaceae
AFA47646.1	#EDC948	Eubacteriaceae
