Neotoma albigula
Oncorhynchus mykiss
Branta bernicla
Mus musculus
Felis catus
Sus scrofa
Ovis aries
Gallus gallus
Abramis brama
Equus hemionus
Strix aluco
Anser anser
Rana dalmatina
Vipera ursinii
Squalius cephalus
Gymnocephalus cernua
Bufo bufo
Salamandra salamandra
Mustela eversmannii
Scardinius erythrophthalmus
Canis lupus
Rallus aquaticus
Prunella modularis
Erithacus rubecula
Anas crecca
Accipiter nisus
Scolopax rusticola
Falco tinnunculus
Strix uralensis
Sorex alpinus
Cyprinus carpio
Ciconia ciconia
Ardea cinerea
Haliaeetus albicilla
Hemidactylus frenatus
Rana temporaria
Chloris chloris
Phalacrocorax carbo
Salvelinus fontinalis
Tupaia belangeri
Rutilus rutilus
Salmo trutta
Homo sapiens
Leuciscus aspius
Esox lucius
Zamenis longissimus
Nomascus siki
Podarcis siculus
Testudo hermanni
Corvus corone
Dendrocopos major
Chondrostoma nasus
Sander lucioperca
Cygnus olor
Circus aeruginosus
Branta leucopsis
Zingel zingel
Trichosurus vulpecula
Varanus rosenbergi
Pogona vitticeps
Dromaius novaehollandiae
Chrysococcyx basalis
Hylacola cauta
Blicca bjoerkna
Carassius gibelio
Alburnus alburnus
Leuciscus idus
Gorilla gorilla
Bufotes viridis
Lacerta agilis
Lissotriton vulgaris
Natrix natrix
Philander opossum
Spermophilus citellus
Crocodylus moreletii
Acrocephalus scirpaceus
Papio ursinus
Crocodylus niloticus
Aepyceros melampus
Equus burchellii
Camelus ferus
Delichon urbicum
Anguis fragilis
Salamandra atra
Proechimys semispinosus
Anthus spinoletta
Perca fluviatilis
Capra ibex
Alouatta caraya
Alouatta pigra
Alouatta palliata
Alouatta seniculus
Colobus guereza
Papio anubis
Papio hamadryas
Lagothrix lagotricha
Lemur catta
Pan troglodytes
Piliocolobus badius
