Alces americanus
Oncorhynchus mykiss
Gallus gallus
Branta bernicla
Mus musculus
Felis catus
Bos taurus
Sus scrofa
Tringa glareola
Bufo bufo
Phalacrocorax carbo
Esox lucius
Castor fiber
Equus hemionus
Sylvia atricapilla
Erithacus rubecula
Phodopus sungorus
Erinaceus europaeus
Falco tinnunculus
Sorex alpinus
Ciconia ciconia
Marmota marmota
Rusa unicolor
Nomascus gabriellae
Strix aluco
Tupaia belangeri
Myodes glareolus
Ardea cinerea
Haliaeetus albicilla
Glis glis
Turdus merula
Chloris chloris
Parus major
Hemidactylus frenatus
Rana temporaria
Nyctereutes procyonoides
Cervus elaphus
Ursus arctos
Zamenis longissimus
Nycticebus pygmaeus
Nomascus siki
Podarcis siculus
Testudo hermanni
Delichon urbicum
Dendrocopos major
Anguis fragilis
Scolopax rusticola
Pipistrellus pipistrellus
Circus aeruginosus
Corvus frugilegus
Macropus fuliginosus
Notamacropus eugenii
Eptesicus sagittula
Phascolarctos cinereus
Tachyglossus aculeatus
Trichosurus vulpecula
Varanus rosenbergi
Pogona vitticeps
Dromaius novaehollandiae
Eolophus roseicapilla
Chrysococcyx basalis
Acanthiza uropygialis
Hylacola cauta
Leuciscus idus
Phocoena phocoena
Halichoerus grypus
Phoca vitulina
Balaenoptera borealis
Mesoplodon bidens
Lagenorhynchus albirostris
Bufotes viridis
Lacerta agilis
Rhinoceros unicornis
Salamandra atra
Smutsia temminckii
Lissotriton vulgaris
Natrix natrix
Potos flavus
Procyon lotor
Choloepus hoffmanni
Tamandua mexicana
Bradypus variegatus
Rana dalmatina
Didelphis marsupialis
Philander opossum
Heteromys desmarestianus
Proechimys semispinosus
Spermophilus citellus
Crocodylus moreletii
NA
Acrocephalus scirpaceus
Vulpes vulpes
Camelus ferus
Otolemur crassicaudatus
Crocodylus niloticus
Loxodonta africana
Lepus tolai
Panthera leo
Ceratotherium simum
Giraffa camelopardalis
Hippopotamus amphibius
Equus burchellii
Vipera ursinii
Caprimulgus europaeus
Anthus spinoletta
Squalius cephalus
Perca fluviatilis
Gymnocephalus cernua
Mustela eversmannii
Mustela putorius
Eliomys quercinus
Rallus aquaticus
Prunella modularis
Crocidura suaveolens
Lepus europaeus
Alouatta caraya
Alouatta pigra
Gorilla gorilla
Papio anubis
Lemur catta
Piliocolobus badius
