Bufo bufo
Leuciscus aspius
Phodopus sungorus
Tupaia belangeri
Haliaeetus albicilla
Rutilus rutilus
Hemidactylus frenatus
Rana temporaria
Rana dalmatina
Anser anser
Corvus corone
Salmo trutta
Zamenis longissimus
Podarcis siculus
Testudo hermanni
Dendrocopos major
Chondrostoma nasus
Anguis fragilis
Lyrurus tetrix
Varanus rosenbergi
Pogona vitticeps
Dromaius novaehollandiae
Bufotes viridis
Salamandra atra
Lissotriton vulgaris
Natrix natrix
Crocodylus moreletii
Otolemur crassicaudatus
Crocodylus niloticus
Equus burchellii
Vipera ursinii
Caprimulgus europaeus
Perca fluviatilis
Salamandra salamandra
Alouatta caraya
Lagothrix lagotricha
