codon	Partition	alpha	beta1	p_1	beta2	p_2	LRT	p_value	no_branches_under_selection	Total_branch_length	MEME_LogL	FEL_LogL	Variation_p
1	1	0	0	0.82	2.96	0.18	1.66	0.22	1	0	-27.17	-21.78	0
2	1	0.56	0.23	1	0.84	0	0	0.67	0	0	-33.33	-33.33	1
3	1	0.05	0.03	0.7	3.53	0.3	9.71	0	1	0	-40.14	-36.16	0.02
4	1	2.19	0.05	1	3.28	0	0	0.67	0	0	-23.33	-23.33	1
5	1	2.31	0.34	1	3.46	0	0	0.67	0	0	-36.96	-36.96	1
6	1	0.38	0	0.82	0.85	0.18	0.33	0.48	1	0	-26.02	-24.26	0.17
7	1	0	0	0.89	62.43	0.11	6.24	0.02	2	0	-26.12	-19.19	0
8	1	73.95	0.31	0.86	39.98	0.14	0	0.67	0	0	-41.03	-40.7	0.72
9	1	8.23	0.21	0.98	24.95	0.02	-0.01	0.67	0	0	-34.76	-34.76	1
10	1	5.35	0.14	1	10.32	0	0	0.67	0	0	-28.59	-28.59	1
11	1	0	0	0.74	2.28	0.26	-0.6	0.67	1	0	-27.39	-26.59	0.45
12	1	2.03	0.43	1	3.04	0	0	0.67	0	0	-38.85	-38.85	1
13	1	12.76	0.03	1	19.14	0	0	0.67	0	0	-22.64	-22.64	1
14	1	0.14	0.03	1	0.2	0	0	0.67	0	0	-16.57	-16.57	1
15	1	0.59	0.05	0.72	5.38	0.28	0.9	0.34	0	0	-44.5	-41.56	0.05
16	1	0.35	0	0.88	6.22	0.12	3	0.11	1	0	-27.07	-24.1	0.05
17	1	0.11	0	1	0.17	0	0	0.67	0	0	-12.77	-12.77	1
18	1	0.71	0.11	1	1.06	0	0	0.67	0	0	-27.89	-27.89	1
19	1	1.46	0.68	1	2.18	0	0	0.67	0	0	-42.87	-42.87	1
20	1	8.04	0.05	1	12.06	0	0	0.67	0	0	-20.68	-20.68	1
21	1	4.06	0.13	1	6.09	0	0	0.67	0	0	-29.9	-29.9	1
22	1	1.12	0	0.51	1114.63	0.49	0.05	0.61	0	0	-44.07	-43.03	0.36
23	1	0.18	0.18	0.55	336.7	0.45	1.59	0.23	0	0	-42.18	-41.51	0.51
24	1	0	0	0.57	0.71	0.43	2.48	0.14	1	0	-30.28	-29.31	0.38
25	1	1.18	0.13	0.56	1.37	0.44	-0.01	0.67	0	0	-38.47	-38.22	0.78
26	1	1.58	0.08	0.01	159	0.99	0	0.67	0	0	-43.36	-43.36	1
27	1	0.2	0	0.94	6.65	0.06	2.98	0.11	1	0	-21.69	-18.07	0.03
28	1	16.39	0	0.9	0.4	0.1	0	0.67	0	0	-18.32	-16.86	0.23
29	1	2.67	0.21	1	4	0	0	0.67	0	0	-33.79	-33.79	1
30	1	0.29	0.01	0.72	3.22	0.28	4.28	0.05	1	0	-41.93	-36.21	0
31	1	10000	0.09	1	10000	0	0	0.67	0	0	-25.84	-25.84	1
32	1	15.95	0	0.7	85.12	0.3	0	0.67	0	0	-42.38	-39.63	0.06
33	1	0.5	0.17	1	0.79	0	0	0.67	0	0	-32.09	-32.09	1
34	1	0.32	0	1	0.48	0	0	0.67	0	0	-15.75	-15.75	1
35	1	0	0	0.66	78.68	0.34	2.34	0.15	1	0	-42.68	-37.48	0.01
36	1	1.13	0	0.82	2.41	0.18	0.28	0.5	3	0	-38.01	-34.36	0.03
37	1	4.34	0.1	1	6.51	0	0	0.67	0	0	-27.62	-27.62	1
38	1	0	0	0.49	10000	0.51	3.03	0.1	0	0	-43.74	-41.54	0.11
39	1	0.65	0.3	1	0.98	0	0	0.67	0	0	-36.77	-36.77	1
40	1	0.69	0	1	1.03	0	0	0.67	0	0	-17.85	-17.85	1
41	1	0	0	0.78	10.49	0.22	12.03	0	4	0	-34.83	-28.8	0
42	1	52.33	0	1	78.5	0	0	0.67	0	0	-9.87	-9.87	1
43	1	0.51	0.04	1	0.77	0	0	0.67	0	0	-15.57	-15.57	1
44	1	12.39	0.06	1	18.58	0	0	0.67	0	0	-28.58	-28.58	1
45	1	13.56	0.1	1	6.78	0	0	0.67	0	0	-29.47	-29.47	1
46	1	1.9	0.13	1	2.85	0	0	0.67	0	0	-23.75	-23.75	1
47	1	4998.17	0.03	1	7497.25	0	0	0.67	0	0	-11.54	-11.54	1
48	1	4.98	0	0.74	4.34	0.26	0	0.67	0	0	-41.02	-38.32	0.07
49	1	1.49	0.08	1	2.71	0	0	0.67	0	0	-22.5	-22.5	1
50	1	1.37	0.07	1	2.06	0	0	0.67	0	0	-27.82	-27.82	1
51	1	1.43	0.1	1	2.15	0	0	0.67	0	0	-29.48	-29.48	1
52	1	1424.27	0	0.68	1.44	0.32	0	0.67	0	0	-33.49	-32.62	0.42
53	1	0.59	0.02	0.86	1.75	0.14	0.07	0.59	1	0	-22.82	-21.43	0.25
54	1	0.58	0	0.88	3.09	0.12	1.42	0.25	2	0	-33.46	-29.75	0.02
55	1	0.8	0.22	0.98	1.39	0.02	0.01	0.65	0	0	-35.15	-35.14	0.99
56	1	12.25	0.02	0.92	22.06	0.08	-0.18	0.67	0	0	-22.11	-21.67	0.64
57	1	254.84	0	0.74	2.53	0.26	0	0.67	0	0	-34.62	-31.31	0.04
58	1	5.38	0.19	1	10.63	0	0	0.67	0	0	-33.75	-33.75	1
59	1	4.13	0	0.66	0.65	0.34	0	0.67	0	0	-31.67	-31.04	0.53
60	1	0.32	0.11	1	0.47	0	0	0.67	0	0	-26.82	-26.82	1
61	1	0.68	0	0.71	60.26	0.29	-0.12	0.67	1	0	-40.81	-39.99	0.44
62	1	7.83	0.14	1	11.75	0	0	0.67	0	0	-29.04	-29.04	1
63	1	1.06	0.07	1	1.59	0	0	0.67	0	0	-26.29	-26.29	1
64	1	0.05	0.05	0.56	42.68	0.44	4.42	0.05	0	0	-42.34	-40.52	0.16
65	1	52.33	0	1	78.5	0	0	0.67	0	0	-10.35	-10.35	1
66	1	198.01	0	0.78	2.01	0.22	0	0.67	0	0	-33.92	-33.21	0.49
67	1	0.11	0.04	1	0.16	0	0	0.67	0	0	-15.23	-15.23	1
68	1	0.64	0.03	0.92	1.02	0.08	0.07	0.59	0	0	-24.76	-24.38	0.68
69	1	0.7	0.06	1	1.06	0	0	0.67	0	0	-29.48	-29.48	1
70	1	7.05	0	0.94	18.68	0.06	-0.06	0.67	1	0	-27.14	-25.29	0.16
71	1	0.99	0.16	0.9	3.03	0.1	0.14	0.56	0	0	-35.24	-35.07	0.84
72	1	0.53	0.05	1	0.79	0	0	0.67	0	0	-21.27	-21.27	1
73	1	0.21	0.1	0.89	10000	0.11	7.21	0.01	1	0	-33.72	-29.89	0.02
74	1	0.41	0.07	1	0.61	0	0	0.67	0	0	-22.31	-22.31	1
75	1	0	0	0.72	343.91	0.28	4.48	0.05	1	0	-34.26	-31.48	0.06
76	1	1.34	0.03	1	2.46	0	0	0.67	0	0	-23.21	-23.21	1
77	1	0.5	0	0.76	1.14	0.24	0.27	0.5	3	0	-30.01	-27.92	0.12
78	1	319	0.2	1	478.5	0	0	0.67	0	0	-34.64	-34.64	1
79	1	19.07	0.14	1	28.6	0	0	0.67	0	0	-34.31	-34.31	1
80	1	0.92	0.06	0.81	0.9	0.19	0	0.67	0	0	-27.95	-27.64	0.74
81	1	5.19	0.19	1	7.78	0	0	0.67	0	0	-31.1	-31.1	1
82	1	0.68	0.11	0.76	236.34	0.24	0.37	0.47	0	0	-40.79	-39.57	0.29
83	1	28.78	0.15	0.73	107.58	0.27	0	0.66	0	0	-41.24	-40.71	0.59
84	1	0.35	0.14	1	0.52	0	0	0.67	0	0	-28.09	-28.09	1
85	1	2.84	0	0.83	31.29	0.17	0.07	0.59	3	0	-34.43	-29.54	0.01
86	1	18.2	0.13	1	4.31	0	0	0.67	0	0	-32.27	-32.27	1
87	1	0.97	0.19	1	1.45	0	0	0.67	0	0	-33.87	-33.87	1
88	1	14.97	0.16	0.87	94.27	0.13	-0.03	0.67	0	0	-39.56	-37.71	0.16
89	1	1.86	0.07	1	2.79	0	0	0.67	0	0	-25.56	-25.56	1
90	1	6.45	0.05	1	9.67	0	0	0.67	0	0	-19.1	-19.1	1
91	1	0.72	0.11	1	1.08	0	0	0.67	0	0	-27.47	-27.47	1
92	1	0.52	0.1	0.89	1.53	0.11	0.32	0.49	0	0	-30.66	-30.24	0.66
93	1	0.29	0.02	1	0.43	0	0	0.67	0	0	-14.88	-14.88	1
94	1	0	0	0.72	40.72	0.28	1.56	0.23	2	0	-33.75	-33.29	0.63
95	1	0.79	0.08	1	1.18	0	0	0.67	0	0	-28.25	-28.25	1
96	1	4.63	0.14	1	6.95	0	0	0.67	0	0	-30.65	-30.65	1
97	1	0.85	0	1	1.27	0	0	0.67	0	0	-16.15	-16.15	1
98	1	642.96	0.12	0.78	176.64	0.22	0	0.67	0	0	-41.85	-41.14	0.49
99	1	0.91	0.05	1	1.37	0	0	0.67	0	0	-18.99	-18.99	1
100	1	0.25	0.02	0	0.34	1	0.12	0.56	0	0	-34.39	-34.39	1
101	1	0.21	0.03	0.94	71.75	0.06	4.28	0.05	1	0	-27.15	-23.63	0.03
102	1	2.3	0.16	0.98	3.53	0.02	0	0.65	0	0	-31.19	-31.18	0.99
103	1	13.82	0.02	1	20.73	0	0	0.67	0	0	-15.87	-15.87	1
104	1	1957.48	0.05	1	2936.22	0	0	0.67	0	0	-20.03	-20.03	1
105	1	0.32	0	0.84	0.99	0.16	1.03	0.31	2	0	-26.41	-23.8	0.07
106	1	12.67	0.06	1	19.01	0	0	0.67	0	0	-25.25	-25.25	1
107	1	0.31	0	0.77	3.36	0.23	1.72	0.21	2	0	-33.85	-29.06	0.01
108	1	69.57	0	0.53	27.68	0.47	0	0.67	0	0	-44.42	-42.9	0.22
109	1	0.72	0.05	1	1.08	0	0	0.67	0	0	-18.81	-18.81	1
110	1	968.75	0.09	1	1453.12	0	0	0.67	0	0	-26.35	-26.35	1
111	1	1.8	0.06	0	46.49	1	0	0.67	0	0	-44.58	-44.58	1
112	1	1.21	0.05	0.8	3.84	0.2	0.43	0.45	0	0	-35.96	-34.39	0.21
113	1	0.12	0	0.89	11.77	0.11	4.75	0.04	2	0	-30.32	-26.3	0.02
114	1	2.96	0.09	1	5.67	0	0	0.67	0	0	-28.66	-28.66	1
115	1	0.19	0.15	0.87	7.5	0.13	2.21	0.16	0	0	-36.58	-35.6	0.38
116	1	1.25	0.02	1	2.44	0	0	0.67	0	0	-15.45	-15.45	1
117	1	0.18	0	0.89	0.51	0.11	0.25	0.51	1	0	-18.18	-17.77	0.66
118	1	0	0	0.52	429.97	0.48	4.8	0.04	0	0	-44.15	-40.94	0.04
119	1	0.01	0	0.73	82.61	0.27	7	0.01	1	0	-37.82	-33.93	0.02
120	1	3.42	0.17	1	5.14	0	0	0.67	0	0	-31.36	-31.36	1
121	1	0.76	0.29	1	1.14	0	0	0.67	0	0	-38.29	-38.29	1
122	1	782.92	0.24	1	1174.39	0	0	0.67	0	0	-35.01	-35.01	1
123	1	1.24	0	0.74	1.16	0.26	0	0.67	0	0	-31.5	-30.49	0.36
