partition	codon	alpha	beta	alpha=beta	LRT	p-value	Total_branch_length	dN/dS_LB	dN/dS_MLE	dN/dS_UB	p-asmp	class
1	1	1.524	0.024	0.233	24.714	0.0099	3.439	0.001	0.016	0.072	0	Purifying
1	2	0.544	0	0.037	9.452	0.0099	0.768	0	0	0.072	0.0021	Purifying
1	3	5.82	0	0.17	23.754	0.0099	2.615	0	0	0.009	0	Purifying
1	4	110.452	0	0.079	20.084	0.0099	1.109	0	0	0	0	Purifying
1	5	0.307	0.149	0.172	0.462	0.5545	2.998	0.17	0.485	1.107	0.4968	Neutral
1	6	2.143	0.206	0.255	0.499	0.6139	11.242	0.031	0.096	0.236	0.48	Neutral
1	7	1.225	0.081	0.286	14.427	0.0099	4.013	0.014	0.066	0.186	0.0001	Purifying
1	8	0.657	0.333	0.364	0.249	0.6139	5.111	0.25	0.507	0.979	0.6178	Neutral
1	9	0.489	0.056	0.133	4.997	0.0198	2.155	0.018	0.114	0.379	0.0254	Purifying
1	10	1.11	0.12	0.403	10.633	0.0099	5.664	0.032	0.108	0.285	0.0011	Purifying
1	11	0.401	0.205	0.239	0.556	0.4851	3.592	0.207	0.512	1.099	0.456	Neutral
1	12	0.381	0	0.094	13.739	0.0099	1.61	0	0	0.116	0.0002	Purifying
1	13	0.825	0.139	0.197	1.963	0.1287	3.831	0.053	0.168	0.41	0.1612	Neutral
1	14	0.157	0.094	0.114	0.243	0.604	1.74	0.148	0.598	1.637	0.6217	Neutral
1	15	1.105	0.149	0.286	5.41	0.0495	5.497	0.04	0.135	0.343	0.02	Purifying
1	16	2.552	0.168	0.502	11.091	0.0099	7.15	0.021	0.066	0.173	0.0009	Purifying
1	17	3.846	0.057	0.226	18.352	0.0099	3.82	0.002	0.015	0.049	0	Purifying
1	18	1.285	0.392	0.524	2.498	0.2277	7.36	0.146	0.305	0.602	0.114	Neutral
1	19	1.162	0.209	0.332	5.614	0.0594	5.076	0.071	0.18	0.388	0.0178	Purifying
1	20	10000	0.98	249.989	3.748	0.9109	3508.593	0	0	"10,000"	0.0529	Neutral
1	21	0.348	0.022	0.088	7.035	0.0099	1.534	0.004	0.065	0.294	0.008	Purifying
1	22	25.319	0.241	36.659	8.9	0.1683	516.525	0.003	0.01	0.031	0.0029	Neutral
1	23	10000	0.101	0.365	17.536	0.0099	5.117	0	0	0	0	Purifying
1	24	0.354	0.483	0.424	0.137	0.6733	6.524	0.552	1.364	2.914	0.7108	Neutral
1	25	1.323	0.121	0.299	8.375	0.0099	5.447	0.025	0.091	0.253	0.0038	Purifying
1	26	0.443	0	0.05	12.529	0.0099	0.7	0	0	0.08	0.0004	Purifying
1	27	1.795	0	0.05	16.892	0.0099	1.134	0	0	0.022	0	Purifying
1	28	0.094	0	0.032	4.189	0.0297	0.455	0	0	0.511	0.0407	Purifying
1	29	1.417	0.429	0.594	1.635	0.4158	8.587	0.123	0.303	0.642	0.2011	Neutral
1	30	0.952	0.206	0.329	5.369	0.0396	4.618	0.09	0.216	0.449	0.0205	Purifying
1	31	0.623	0	0.116	18.743	0.0099	1.626	0	0	0.075	0	Purifying
1	32	0.406	0.085	0.132	1.674	0.2475	2.056	0.04	0.209	0.59	0.1957	Neutral
1	33	17.373	0.052	0.401	23.376	0.0099	7.106	0	0.003	0.01	0	Purifying
1	34	10000	0.022	0.169	21.746	0.0099	2.377	0	0	0	0	Purifying
1	35	0.977	0.042	0.139	12.339	0.0198	1.945	0.007	0.043	0.139	0.0004	Purifying
1	36	0.529	0	0.149	14.603	0.0099	2.477	0	0	0.119	0.0001	Purifying
1	37	0.556	0.055	0.209	10.474	0.0099	2.938	0.016	0.098	0.316	0.0012	Purifying
1	38	1.696	0.063	0.335	19.181	0.0099	5.552	0.006	0.037	0.123	0	Purifying
1	39	16.141	0	0.186	39.465	0.0099	2.614	0	0	0.002	0	Purifying
1	40	16.101	0.021	0.217	30.504	0.0099	3.047	0	0.001	0.006	0	Purifying
1	41	35.837	0.026	0.239	24.205	0.0099	3.36	0	0.001	0.003	0	Purifying
1	42	66.123	0.053	0.252	19.609	0.0099	3.536	0	0.001	0.003	0	Purifying
1	43	0.969	0	0.151	23.349	0.0099	2.114	0	0	0.048	0	Purifying
1	44	0.054	0.026	0.036	0.245	0.7525	0.65	0.026	0.469	2.503	0.6203	Neutral
1	45	10000	0.264	249.989	28.485	0.0099	3508.972	0	0	0	0	Purifying
1	46	0.464	0.022	0.092	9.037	0.0099	1.296	0.003	0.047	0.212	0.0026	Purifying
1	47	1.293	0.22	0.467	6.209	0.0495	6.854	0.059	0.17	0.415	0.0127	Purifying
1	48	1.527	0	0.132	19.188	0.0099	2.234	0	0	0.037	0	Purifying
1	49	0	0.042	0.033	-0.017	0.9901	0.866	"3,821.52"	"10,000"	"10,000"	1	Neutral
1	50	1.978	0.02	0.051	2.031	0.1782	0.74	0.001	0.01	0.047	0.1542	Neutral
1	51	0.351	0	0.105	11.498	0.0099	1.823	0	0	0.16	0.0007	Purifying
1	52	0.639	0.108	0.229	3.791	0.099	5.36	0.04	0.169	0.523	0.0515	Purifying
1	53	9.378	0.038	0.137	25.497	0.0099	1.925	0.001	0.004	0.013	0	Purifying
1	54	0.419	0.125	0.181	2.39	0.1485	2.543	0.104	0.299	0.682	0.1221	Neutral
1	55	18.949	0.158	0.461	5.857	0.0198	6.835	0.003	0.008	0.019	0.0155	Purifying
1	56	0.904	0.024	0.132	13.217	0.0099	1.852	0.002	0.027	0.122	0.0003	Purifying
1	57	0.315	0.025	0.107	7.356	0.0198	1.506	0.004	0.078	0.353	0.0067	Purifying
