Accession	flaID	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
SNX72910.1	fla1	270	30	1448271	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Caldibacillaceae_A	g__Bacillus_BF	s__Bacillus_BF oleivorans	4511824
KNY28622.1	fla2	1046	806	398512	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Acetivibrionales	f__Acetivibrionaceae	g__Pseudobacteroides	s__Pseudobacteroides cellulosolvens	6630821
KJR47801.1	fla3	394	154	1617025	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfosporosinus	s__Desulfosporosinus sp000960765	5311733
WP_092074313.1	fla4	411	171	146817	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales_A	f__Dendrosporobacteraceae	g__Dendrosporobacter	s__Dendrosporobacter quercicolus	4130502
WP_052504473.1	fla5	366	126	189382	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea aquimaris_D	4753727
OME87138.1	fla6	394	154	1920420	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_C	s__Paenibacillus_C sp001956295	7846829
WP_076282421.1	fla7	400	160	189426	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus odorifer	6955142
OMF13103.1	fla8	939	699	1920421	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_S	s__Paenibacillus_S sp001956045	9468060
OMF13104.1	fla9	946	706	1920421	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_S	s__Paenibacillus_S sp001956045	9468060
KJS19054.1	fla10	512	272	1629719	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Peptococcia	o__Peptococcales	f__BICA1-8	g__BICA1-8	s__BICA1-8 sp000961765	4512870
WP_062199943.1	fla11	386	146	1632858	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_E	f__Massilibacteriaceae	g__Massilibacterium	s__Massilibacterium senegalense	2849407
WP_054874806.1	fla12	394	154	36849	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Oxobacteraceae	g__Oxobacter	s__Oxobacter pfennigii	4510552
SDF79705.1	fla13	389	149	1123285	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Thermosinaceae	g__Sporolituus	s__Sporolituus thermophilus	2861023
CVK19892.1	fla14	390	150	1337886	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa sphaeroides	4943689
WP_014795301.1	fla15	386	146	36854	Firmicutes	d__Bacteria	p__Firmicutes_B	c__Desulfitobacteriia	o__Desulfitobacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacterium dehalogenans	3960095
SCM83662.1	fla16	399	159	307249	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa sphaeroides	5020646
