Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
WP_088222031.1	483	243	208224	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Enterobacter kobei	5088034
PEB57461.1	285	45	1396	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cereus	5204644
OQU41310.1	284	44	670	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio parahaemolyticus	6099228
WP_108001953.1	414	174	28320	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mycoplana	s__Mycoplana dimorpha	4592697
WP_075123400.1	391	151	1912961	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Actinophytocola	s__Actinophytocola xanthii	8345635
CUH95360.1	467	227	1677858	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Propionisporales	f__Propionisporaceae	g__CYSP01	s__CYSP01 sp001298735	4121509
EMG96958.1	514	274	1159029	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter	s__Helicobacter pylori_BU	1682673
OWG58734.1	570	330	562	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli_D	5232730
OYW63100.1	238	-2	1970517	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Thiobacillaceae	g__Thiobacillus	s__Thiobacillus sp002281775	2883008
WP_071275712.1	386	146	1898743	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium sp001865015	3901504
AOZ75141.1	493	253	1262449	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_I	s__Clostridium_I pasteurianum	4352852
ARQ99311.1	525	285	75658	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter lanienae	1597436
PKM33661.1	474	234	2013794	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E alcaliphila	4875905
EIT32253.1	369	129	992179	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Yersinia	s__Yersinia pestis	4780039
OYB05952.1	436	196	562	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia	s__Escherichia coli_D	5232730
WP_092563040.1	472	232	37658	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_AI	s__Clostridium_AI populeti	4222819
PCU05096.1	287	47	1639	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Listeria	s__Listeria monocytogenes	3096332
EOQ48332.1	488	248	1169322	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	5266563
WP_037106054.1	360	120	1500305	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pararhizobium	s__Pararhizobium sp000745575	6030556
PHM64032.1	325	85	351614	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Xenorhabdus	s__Xenorhabdus stockiae	4668612
PJL30793.1	392	152	40324	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Stenotrophomonas	s__Stenotrophomonas sp003086775	4300149
OCI96762.1	326	86	1841653	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Rhizobium	s__Rhizobium sp001692325	7290351
ETM63428.1	298	58	95619	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__Pseudomonas citronellolis	6982428
WP_018950087.1	373	133	1158165	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Thioalkalivibrionaceae	g__Thioalkalivibrio	s__Thioalkalivibrio sp000377905	3037788
POZ23792.1	300	60	2080842	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Lelliottia	s__Lelliottia jeotgali	4773413
BBA33774.1	492	252	1432792	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylococcaceae	g__Methylocaldum	s__Methylocaldum marinum	6088916
KQZ12197.1	356	116	1736555	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Mesorhizobium	s__Mesorhizobium sp001427285	4619371
PTP99570.1	378	138	29497	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio splendidus	5373978
WP_033083808.1	228	-12	28229	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Colwellia	s__Colwellia psychrerythraea_B	5723506
RFF22405.1	500	260	28901	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4733991
PPB73401.1	249	9	91352	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter hyointestinalis	1701439
DAB03223.1	642	402	1916229	Candidatus Melainabacteria	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__CAG-196 sp002102975	2476719
AQL98422.1	377	137	55601	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio anguillarum	4443514
AVF24381.1	393	153	147375	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_H	s__Paenibacillus_H larvae	4701977
KJF25817.1	583	343	84022	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Natronincolaceae	g__Clostridium_W	s__Clostridium_W aceticum	4158708
PTU66435.1	282	42	2161826	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Chromobacteriaceae	g__Chromobacterium	s__Chromobacterium sp003052555	5218353
KFC61890.1	305	65	1502852	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia alkalitolerans	5799572
OQT78532.1	374	134	670	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio parahaemolyticus	6099228
PKH99750.1	279	39	2057807	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Glaciecola	s__Glaciecola sp002836745	4517900
WP_066229125.1	364	124	46224	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_C	g__Heyndrickxia	s__Heyndrickxia sporothermodurans	3414010
OOM00908.1	270	30	84029	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_S	s__Clostridium_S felsineum	4944863
WP_074395198.1	293	53	1666906	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas sp900086985	3533026
OKP85566.1	472	232	1349434	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus helianthi	6921523
ALL13578.1	273	33	69395	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter henricii_A	4980720
PYG01081.1	272	32	860221	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Oceanitalea	s__Oceanitalea nanhaiensis	3906813
